Kanji,Furigana,Meaning,Level
嗚呼,ああ,"Ah!, Oh!, Alas!",N1
相,あい,"together, mutually, fellow",N1
相変わらず,あいかわらず,"as ever, as usual, the same",N1
愛想,あいそ,"civility, courtesy, compliments, sociability, graces",N1
相対,あいたい,"confrontation, facing, between ourselves, no third party, tete-a-tete",N1
間柄,あいだがら,relation(ship),N1
愛憎,あいにく,likes and dislikes,N1
合間,あいま,interval,N1
曖昧,あいまい,"vague, ambiguous",N1
敢えて,あえて,"dare (to do), challenge (to do)",N1
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take",N1
垢,あか,"dirt, filth",N1
亜科,あか,"suborder, subfamily",N1
銅,あかがね,copper,N1
証,あかし,"proof, evidence",N1
赤字,あかじ,"deficit, go in the red",N1
明かす,あかす,"to pass, spend, to reveal, to divulge",N1
赤ちゃん,あかちゃん,"baby, infant",N1
明白,あからさま,"obvious, overt, plainly, frankly",N1
赤らむ,あからむ,"to become red, to redden, to blush",N1
明るい,あかるい,"bright, cheerful",N1
上がり,あがり,"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after",N1
上がる,あがる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,",N1
商人,あきうど,"trader, shopkeeper, merchant",N1
空間,あきま,"vacancy, room for rent or lease",N1
諦め,あきらめ,"resignation, acceptance, consolation",N1
呆れる,あきれる,"to be amazed, to be shocked",N1
悪,あく,"evil, wickedness",N1
灰,あく,puckery juice,N1
,あくどい,"1. gaudy, showy, excessive, 2. vicious",N1
悪日,あくび,unlucky day,N1
明くる,あくる,"next, following",N1
憧れ,あこがれ,"yearning, longing, aspiration",N1
顎,あご,chin,N1
麻,あさ,"flax, linen, hemp",N1
明後日,あさって,day after tomorrow,N1
朝寝坊,あさねぼう,"oversleeping, late riser",N1
浅ましい,あさましい,"wretched, miserable, shameful, mean, despicable, abject",N1
字,あざ,section of village,N1
欺く,あざむく,to deceive,N1
鮮やか,あざやか,"vivid, clear, brilliant",N1
あざ笑う,あざわらう,"to sneer at, to ridicule",N1
味わい,あじわい,"flavour, meaning, significance",N1
東,あずま,"east, Eastern Japan",N1
焦る,あせる,"to be in a hurry, to be impatient",N1
彼処,あそこ,"1. (uk) there, over there, that place, 2. (X) (col) genitals",N1
